"Checkout Success Page","Checkout Success Page"
"General","General"
"Enabled","Enabled"
"Show full addresses","Show full addresses"
"Show product thumbnails in items table","Show product thumbnails in items table"
"CMS Block above the grid","CMS Block above the grid"
"CMS Block below the grid","CMS Block below the grid"
"Custom HTML at the bottom","Custom HTML at the bottom"
"Block Layout","Block Layout"
"Top slot","Top slot"
"Middle-left slot","Middle-left slot"
"Middle-right slot","Middle-right slot"
"Bottom slot","Bottom slot"
"Preview","Preview"
"Order # to preview","Order # to preview"
"Additional CMS Blocks","Additional CMS Blocks"
"CMS Block #1","CMS Block #1"
"CMS Block #2","CMS Block #2"
"CMS Block #3","CMS Block #3"
"CMS Block #4","CMS Block #4"
"-- None --","-- None --"
"Open Preview in New Tab","Open Preview in New Tab"
"Thank You message","Thank You message"
"Quick Register CTA (guests only)","Quick Register CTA (guests only)"
"Order line items + totals","Order line items + totals"
"Shipping + billing addresses","Shipping + billing addresses"
"Additional CMS blocks (slots 1-4)","Additional CMS blocks (slots 1-4)"
"Recurring profile schedule","Recurring profile schedule"
"Thank you for your purchase!","Thank you for your purchase!"
"Your order has been received","Your order has been received"
"Your order # is: %s.","Your order # is: %s."
"You will receive an order confirmation email with details of your order.","You will receive an order confirmation email with details of your order."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Create account for next time","Create account for next time"
"We'll register %s with this email so you can track this order and check out faster next time.","We'll register %s with this email so you can track this order and check out faster next time."
"Password","Password"
"Confirm Password","Confirm Password"
"Create Account","Create Account"
"Invalid form key. Please try again.","Invalid form key. Please try again."
"Order is missing a customer email; cannot register.","Order is missing a customer email; cannot register."
"Passwords did not match.","Passwords did not match."
"Password must be at least 8 characters.","Password must be at least 8 characters."
"An account already exists for this email  -  please log in instead.","An account already exists for this email  -  please log in instead."
"Your account has been created.","Your account has been created."
"Could not create your account. Please try again or contact support.","Could not create your account. Please try again or contact support."
